Metro Area Name,Year,Total Senior Population (CPS),Senior Food Insecurity Rate,# of Food Insecure Seniors,Total Older Adults Population (CPS),Older Adult Food Insecurity Rate,# of Food Insecure Older Adults
"Atlanta-Sandy Springs-Roswell, GA",2019,"997,300",7.3%,"73,254","754,769",7.9%,"59,708"
"Atlanta-Sandy Springs-Roswell, GA",2020,"1,066,222",7.0%,"74,754","759,938",8.3%,"63,076"
"Atlanta-Sandy Springs-Roswell, GA",2021,"1,126,449",6.7%,"75,870","938,341",7.3%,"68,754"
"Atlanta-Sandy Springs-Roswell, GA",2022,"1,218,182",6.7%,"81,244","820,951",8.2%,"66,946"
"Atlanta-Sandy Springs-Roswell, GA",2023,"1,312,072",7.6%,"99,067","836,007",7.8%,"65,184"
"Austin-Round Rock, TX",2019,"320,808",6.5%,"21,011","221,310",6.6%,"14,634"
"Austin-Round Rock, TX",2020,"312,025",6.5%,"20,178","211,332",5.6%,"11,779"
"Austin-Round Rock, TX",2021,"325,596",6.4%,"20,682","268,747",7.3%,"19,488"
"Austin-Round Rock, TX",2022,"322,498",6.9%,"22,132","266,833",7.9%,"21,138"
"Austin-Round Rock, TX",2023,"323,412",10.1%,"32,581","279,643",10.5%,"29,248"
"Baltimore-Columbia-Towson, MD",2019,"620,069",7.8%,"48,391","384,889",12.5%,"47,576"
"Baltimore-Columbia-Towson, MD",2020,"632,555",8.4%,"53,098","359,920",13.3%,"48,024"
"Baltimore-Columbia-Towson, MD",2021,"633,454",8.6%,"54,611","407,957",13.9%,"56,598"
"Baltimore-Columbia-Towson, MD",2022,"646,936",7.1%,"45,955","323,963",11.0%,"35,508"
"Baltimore-Columbia-Towson, MD",2023,"664,549",6.7%,"44,815","299,106",13.2%,"39,453"
"Birmingham-Hoover, AL",2019,"233,078",8.0%,"18,576","140,411",14.7%,"20,692"
"Birmingham-Hoover, AL",2020,"227,953",8.3%,"18,827","145,327",13.4%,"19,526"
"Birmingham-Hoover, AL",2021,"233,167",8.2%,"18,914","181,225",14.1%,"25,531"
"Birmingham-Hoover, AL",2022,"245,369",9.2%,"22,478","155,635",14.5%,"22,606"
"Birmingham-Hoover, AL",2023,"269,581",8.1%,"21,896","148,919",13.7%,"20,423"
"Boston-Cambridge-Newton, MA-NH",2019,"1,057,280",6.2%,"65,103","694,120",7.5%,"51,931"
"Boston-Cambridge-Newton, MA-NH",2020,"1,089,147",6.0%,"65,114","694,369",7.6%,"52,844"
"Boston-Cambridge-Newton, MA-NH",2021,"1,118,609",6.4%,"71,278","816,268",8.6%,"70,231"
"Boston-Cambridge-Newton, MA-NH",2022,"1,141,399",6.6%,"74,936","689,761",9.0%,"61,839"
"Boston-Cambridge-Newton, MA-NH",2023,"1,134,393",7.3%,"82,515","699,364",9.3%,"64,854"
"Buffalo-Cheektowaga-Niagara Falls, NY",2019,"317,762",7.4%,"23,559","163,041",9.3%,"15,101"
"Buffalo-Cheektowaga-Niagara Falls, NY",2020,"348,110",7.4%,"25,893","154,109",10.4%,"16,082"
"Buffalo-Cheektowaga-Niagara Falls, NY",2021,"342,356",7.7%,"26,321","192,063",10.5%,"20,261"
"Buffalo-Cheektowaga-Niagara Falls, NY",2022,"347,754",7.9%,"27,593","157,458",12.9%,"20,312"
"Buffalo-Cheektowaga-Niagara Falls, NY",2023,"337,689",6.7%,"22,625","153,966",16.2%,"24,957"
