Category,Older Adults,,Seniors,
Total Population,,"40,438,861",,"80,067,693"
Category,Food Insecurity Rate,# Food Insecure,Food Insecurity Rate ,# Food Insecure 
All,12.79%,"5,172,451",9.24%,"7,397,565"
,,,,
By Income,,,,
Under 1.00,46.2%,"1,223,798",32.4%,"1,813,469"
1.00-2.00,29.4%,"1,263,694",21.0%,"2,174,050"
Over 2.00,7.0%,"1,772,195",4.2%,"1,847,296"
Income Not Reported,11.3%,"912,764",7.7%,"1,562,751"
,,,,
By Race,,,,
"Black, non-Hispanic",20.8%,"980,076",19.5%,"1,590,754"
Latino/Hispanic,18.7%,"1,298,964",19.3%,"1,615,659"
Other Identities,7.9%,"277,631",9.4%,"510,546"
"White, non-Hispanic",10.4%,"2,615,779",6.3%,"3,680,606"
,,,,
By Marital Status,,,,
Divorced/Separated,20.8%,"1,488,342",16.7%,"2,194,789"
Married,8.0%,"2,130,073",6.1%,"2,897,673"
Never Married,23.2%,"1,270,417",14.1%,"883,278"
Widowed,25.2%,"283,620",10.8%,"1,421,825"
,,,,
By Metropolitan Location,,,,
Metro,12.4%,"4,349,397",9.1%,"6,120,848"
Non-Metro,14.8%,"754,767",9.8%,"1,181,511"
,,,,
By Age,,,,
50-55,12.8%,"3,083,545",,
56-59,12.8%,"2,088,906",,
60-69,,,11.3%,"4,508,442"
70-79,,,7.9%,"2,151,445"
80 and older,,,5.7%,"737,678"
,,,,
By Employment Status,,,,
Not in Labor Force,23.6%,"2,268,119",9.7%,"5,492,300"
Employed,8.9%,"2,683,089",7.7%,"1,761,090"
Unemployed,25.7%,"221,244",21.1%,"144,175"
,,,,
By Gender,,,,
Female,14.4%,"2,942,358",10.1%,"4,344,475"
Male,11.2%,"2,230,093",8.2%,"3,053,090"
,,,,
By Grandchild Present,,,,
Grandchildren Present,24.8%,"346,803",18.2%,"564,525"
No Grandchild Present,12.4%,"4,825,648",8.9%,"6,833,040"
,,,,
By Homeownership Status,,,,
Homeowner,8.5%,"2,644,471",6.7%,"4,457,451"
Renter,26.7%,"2,411,606",22.0%,"2,826,709"
,,,,
By Veteran Status,,,,
Not a Veteran,13.1%,"4,935,507",9.6%,"6,758,577"
Veteran,9.0%,"236,945",6.5%,"638,988"
,,,,
By Disability Status,,,,
With a Disability,34.1%,"1,659,242",16.2%,"3,245,526"
Without a Disability,9.9%,"3,513,210",6.9%,"4,152,039"
,,,,
By Region,,,,
Northeast,11.1%,"790,005",8.1%,"1,174,619"
Midwest,13.8%,"1,148,095",8.1%,"1,340,255"
South,13.26%,"2,064,954",10.48%,"3,286,490"
West,12.42%,"1,169,397",9.08%,"1,596,202"
