FIPS,State Name,State,Year,Overall Food Insecurity Rate,# of Food Insecure Persons Overall,Food Insecurity Rate among Black Persons (all ethnicities),Food Insecurity Rate among Hispanic Persons (any race),"Food Insecurity Rate among White, non-Hispanic Persons",SNAP Threshold in State,% FI ≤ SNAP Threshold,% FI > SNAP Threshold,Child Food Insecurity Rate,# of Food Insecure Children,% food insecure Children in HH w/HH Incomes Below 185 FPL,% food insecure Children in HH w/HH Incomes Above 185 FPL,Senior Food Insecurity Rate,# of Food Insecure Seniors,Older Adult Food Insecurity Rate,# of Food Insecure Older Adults,Cost Per Meal,Weighted weekly $ needed by FI,Weighted Annual Food Budget Shortfall,Census Division,Census Region,FNS Region
01,Alabama,AL,2019,16.1%,"788,250",27%,13%,12%,130%,50%,50%,21.2%,"229,880",76%,24%,9.4%,"105,776",15.6%,"105,533",$3.01,$16.96,"$405,611,000",East South Central,South,Southeast
01,Alabama,AL,2020,14.5%,"711,370",27%,14%,10%,130%,53%,48%,19.8%,"216,040",82%,18%,9.0%,"104,269",14.2%,"97,677",$3.13,$16.62,"$358,615,000",East South Central,South,Southeast
01,Alabama,AL,2021,14.8%,"746,550",26%,12%,10%,130%,41%,60%,18.3%,"204,830",77%,23%,8.9%,"103,567",14.4%,"100,289",$3.50,$20.36,"$461,137,000",East South Central,South,Southeast
01,Alabama,AL,2022,17.4%,"884,270",31%,18%,12%,130%,39%,61%,23.3%,"258,560",75%,25%,9.2%,"109,300",13.4%,"87,500",$3.91,$24.24,"$650,301,000",East South Central,South,Southeast
01,Alabama,AL,2023,17.5%,"896,510",31%,19%,13%,130%,48%,52%,22.2%,"250,580",75%,25%,8.1%,"103,465",10.8%,"62,405",$3.50,$21.84,"$594,027,000",East South Central,South,Southeast
02,Alaska,AK,2019,11.9%,"86,970",18%,14%,9%,130%,49%,51%,16.1%,"28,850",72%,28%,6.7%,"8,609",10.7%,"9,576",$3.63,$20.43,"$53,905,000",Pacific,West,Western
02,Alaska,AK,2020,10.8%,"79,670",20%,15%,7%,130%,50%,50%,14.7%,"26,910",77%,23%,5.9%,"7,863",11.7%,"10,052",$3.81,$20.23,"$48,894,000",Pacific,West,Western
02,Alaska,AK,2021,10.7%,"78,260",19%,12%,8%,130%,40%,60%,12.8%,"22,960",73%,27%,8.4%,"12,149",8.0%,"6,184",$4.25,$24.77,"$58,797,000",Pacific,West,Western
02,Alaska,AK,2022,12.8%,"93,620",23%,19%,9%,130%,37%,63%,17.1%,"30,110",71%,29%,7.5%,"11,900",7.0%,"4,800",$4.70,$29.12,"$82,705,000",Pacific,West,Western
02,Alaska,AK,2023,14.5%,"106,080",26%,21%,10%,130%,45%,55%,17.8%,"31,030",67%,33%,7.5%,"11,566",6.3%,"4,674",$4.23,$26.46,"$85,145,000",Pacific,West,Western
04,Arizona,AZ,2019,12.6%,"918,940",22%,17%,10%,185%,63%,37%,17.9%,"293,570",68%,32%,8.5%,"135,977",10.4%,"91,931",$3.03,$17.06,"$475,515,000",Mountain,West,Southwest
04,Arizona,AZ,2020,11.1%,"798,790",22%,17%,8%,185%,67%,33%,16.4%,"269,610",76%,24%,6.9%,"118,018",10.0%,"85,230",$3.07,$16.32,"$395,360,000",Mountain,West,Southwest
04,Arizona,AZ,2021,10.3%,"751,690",20%,14%,8%,185%,49%,51%,14.0%,"226,080",68%,32%,7.4%,"129,412",8.5%,"79,721",$3.30,$19.21,"$438,117,000",Mountain,West,Southwest
04,Arizona,AZ,2022,13.1%,"963,130",24%,19%,11%,185%,47%,53%,18.5%,"293,950",65%,35%,9.4%,"159,300",7.2%,"71,500",$3.68,$22.80,"$666,169,000",Mountain,West,Southwest
04,Arizona,AZ,2023,14.4%,"1,067,120",27%,21%,11%,185%,58%,42%,18.4%,"291,290",64%,36%,10.5%,"182,986",11.6%,"106,514",$3.32,$20.75,"$671,699,000",Mountain,West,Southwest
05,Arkansas,AR,2019,16.6%,"499,950",25%,19%,15%,130%,51%,49%,21.6%,"150,910",73%,27%,8.2%,"57,508",12.9%,"47,370",$2.73,$15.41,"$233,680,000",West South Central,South,Southwest
05,Arkansas,AR,2020,14.7%,"444,130",25%,19%,13%,130%,53%,47%,19.7%,"138,410",77%,23%,6.3%,"45,417",16.9%,"61,190",$2.80,$14.85,"$200,073,000",West South Central,South,Southwest
05,Arkansas,AR,2021,15.5%,"467,550",25%,16%,13%,130%,41%,59%,19.1%,"134,690",73%,27%,7.6%,"55,600",19.8%,"75,302",$3.18,$18.50,"$262,358,000",West South Central,South,Southwest
05,Arkansas,AR,2022,18.6%,"567,110",30%,22%,16%,130%,39%,61%,24.2%,"168,430",71%,29%,11.3%,"83,400",18.6%,"73,700",$3.55,$21.99,"$378,349,000",West South Central,South,Southwest
05,Arkansas,AR,2023,19.3%,"592,860",33%,23%,17%,130%,49%,51%,24.0%,"167,940",73%,27%,13.2%,"101,897",17.0%,"60,239",$3.22,$20.10,"$361,481,000",West South Central,South,Southwest
06,California,CA,2019,10.2%,"4,011,960",19%,15%,8%,200%,72%,28%,13.7%,"1,221,560",70%,30%,6.3%,"506,182",9.9%,"478,042",$3.26,$18.35,"$2,233,636,000",Pacific,West,Western
06,California,CA,2020,9.1%,"3,571,920",19%,16%,6%,200%,77%,23%,13.0%,"1,165,400",79%,21%,6.5%,"541,877",10.0%,"475,378",$3.45,$18.32,"$1,985,431,000",Pacific,West,Western
06,California,CA,2021,10.5%,"4,104,060",18%,13%,6%,200%,58%,42%,13.5%,"1,182,720",66%,34%,7.4%,"620,899",10.4%,"485,709",$3.67,$21.36,"$2,658,795,000",Pacific,West,Western
06,California,CA,2022,12.6%,"4,915,450",23%,19%,9%,200%,56%,44%,16.9%,"1,437,250",65%,35%,7.9%,"668,000",10.4%,"479,000",$4.05,$25.08,"$3,739,176,000",Pacific,West,Western
06,California,CA,2023,13.7%,"5,352,790",25%,20%,9%,200%,63%,37%,16.9%,"1,427,650",66%,34%,8.8%,"735,145",11.8%,"557,451",$3.63,$22.65,"$3,678,017,000",Pacific,West,Western
08,Colorado,CO,2019,9.8%,"566,440",12%,17%,8%,200%,61%,40%,12.1%,"151,810",71%,29%,9.3%,"105,267",3.5%,"25,386",$3.35,$18.91,"$324,827,000",Mountain,West,Mountain Plains
08,Colorado,CO,2020,8.3%,"474,420",13%,18%,6%,200%,72%,28%,11.2%,"141,570",82%,18%,7.5%,"90,387",4.4%,"32,365",$3.36,$17.84,"$256,787,000",Mountain,West,Mountain Plains
08,Colorado,CO,2021,9.2%,"533,650",14%,16%,6%,200%,52%,48%,10.5%,"129,900",71%,29%,7.4%,"102,243",8.2%,"55,579",$3.72,$21.64,"$350,359,000",Mountain,West,Mountain Plains
08,Colorado,CO,2022,11.5%,"671,340",19%,21%,9%,200%,48%,52%,14.2%,"172,280",60%,40%,7.7%,"109,200",9.2%,"56,900",$4.13,$25.60,"$521,298,000",Mountain,West,Mountain Plains
08,Colorado,CO,2023,12.7%,"744,950",21%,22%,9%,200%,53%,48%,14.3%,"172,540",56%,44%,8.4%,"106,057",5.4%,"36,387",$3.73,$23.30,"$526,425,000",Mountain,West,Mountain Plains
09,Connecticut,CT,2019,12.0%,"428,800",22%,25%,8%,185%,55%,45%,15.1%,"110,020",65%,35%,8.3%,"74,416",10.2%,"51,600",$3.39,$19.11,"$248,587,000",New England,Northeast,Northeast
09,Connecticut,CT,2020,10.2%,"364,040",23%,25%,6%,185%,60%,40%,12.6%,"92,430",75%,25%,6.6%,"59,899",9.7%,"51,168",$3.60,$19.10,"$210,898,000",New England,Northeast,Northeast
09,Connecticut,CT,2021,10.5%,"380,310",21%,22%,6%,200%,52%,48%,11.5%,"83,530",67%,33%,5.5%,"48,430",8.8%,"46,336",$3.84,$22.38,"$258,120,000",New England,Northeast,Northeast
09,Connecticut,CT,2022,12.9%,"468,150",25%,27%,9%,200%,49%,51%,15.4%,"112,600",60%,40%,6.9%,"62,700",9.7%,"47,300",$4.27,$26.44,"$375,474,000",New England,Northeast,Northeast
09,Connecticut,CT,2023,14.3%,"516,640",27%,29%,10%,200%,57%,43%,17.0%,"122,660",62%,38%,8.3%,"76,235",11.7%,"56,800",$3.67,$22.94,"$359,535,000",New England,Northeast,Northeast
10,Delaware,DE,2019,11.7%,"114,190",18%,19%,9%,200%,57%,43%,16.6%,"33,790",65%,35%,6.5%,"16,194",9.7%,"11,935",$3.18,$17.90,"$62,002,000",South Atlantic,South,Mid-Atlantic
10,Delaware,DE,2020,9.7%,"93,900",18%,19%,7%,200%,63%,37%,15.1%,"30,920",75%,25%,5.4%,"13,976",11.7%,"15,391",$3.32,$17.65,"$50,261,000",South Atlantic,South,Mid-Atlantic
