FIPS,State,District,Year,Overall Food Insecurity Rate,# of Food Insecure Persons Overall,Food Insecurity Rate among Black Persons (all ethnicities),Food Insecurity Rate among Hispanic Persons (any race),"Food Insecurity Rate among White, non-Hispanic Persons",SNAP Threshold,% FI ≤ SNAP Threshold,% FI > SNAP Threshold,Child Food Insecurity Rate,# of Food Insecure Children,% food insecure children in HH w/ HH incomes below 185 FPL,% food insecure children in HH w/ HH incomes above 185 FPL,Census Region,Census Division,FNS Region
101,AL,"Congressional District 1 (116th Congress), Alabama",2019,16.1%,"115,250",28%,12%,12%,130%,50%,50%,21.9%,"35,290",74%,26%,South,East South Central,Southeast
101,AL,"Congressional District 1, Alabama",2020,14.1%,"100,850",29%,12%,9%,130%,51%,49%,19.5%,"31,670",82%,18%,South,East South Central,Southeast
101,AL,"Congressional District 1, Alabama",2021,14.7%,"108,230",28%,10%,10%,130%,40%,60%,18.6%,"30,560",77%,23%,South,East South Central,Southeast
101,AL,"Congressional District 1 (118th Congress), Alabama",2022,17.8%,"130,000",33%,18%,12%,130%,39%,61%,23.8%,"38,380",76%,24%,South,East South Central,Southeast
101,AL,"Congressional District 1 (118th Congress), Alabama",2023,16.3%,"119,750",33%,18%,12%,130%,45%,55%,21.8%,"35,490",80%,20%,South,East South Central,Southeast
102,AL,"Congressional District 2 (116th Congress), Alabama",2019,16.3%,"109,950",28%,14%,13%,130%,52%,48%,23.1%,"35,050",71%,29%,South,East South Central,Southeast
102,AL,"Congressional District 2, Alabama",2020,15.2%,"103,190",28%,15%,10%,130%,54%,46%,22.5%,"34,130",79%,21%,South,East South Central,Southeast
102,AL,"Congressional District 2, Alabama",2021,15.6%,"107,990",27%,13%,11%,130%,42%,58%,21.2%,"33,520",73%,27%,South,East South Central,Southeast
102,AL,"Congressional District 2 (118th Congress), Alabama",2022,17.5%,"126,340",31%,19%,12%,130%,41%,60%,26.4%,"43,060",76%,24%,South,East South Central,Southeast
102,AL,"Congressional District 2 (118th Congress), Alabama",2023,18.3%,"132,390",32%,20%,13%,130%,50%,50%,25.2%,"42,000",79%,21%,South,East South Central,Southeast
103,AL,"Congressional District 3 (116th Congress), Alabama",2019,16.7%,"119,620",26%,14%,13%,130%,50%,50%,21.3%,"33,100",73%,27%,South,East South Central,Southeast
103,AL,"Congressional District 3, Alabama",2020,14.8%,"105,410",26%,15%,11%,130%,54%,46%,19.6%,"30,630",81%,19%,South,East South Central,Southeast
103,AL,"Congressional District 3, Alabama",2021,15.8%,"117,330",25%,14%,11%,130%,45%,55%,19.5%,"31,220",76%,24%,South,East South Central,Southeast
103,AL,"Congressional District 3 (118th Congress), Alabama",2022,18.2%,"131,370",30%,22%,14%,130%,42%,58%,24.4%,"37,040",77%,23%,South,East South Central,Southeast
103,AL,"Congressional District 3 (118th Congress), Alabama",2023,17.8%,"130,140",30%,21%,14%,130%,49%,52%,21.7%,"33,480",68%,32%,South,East South Central,Southeast
104,AL,"Congressional District 4 (116th Congress), Alabama",2019,16.9%,"116,460",27%,14%,14%,130%,47%,53%,19.4%,"29,900",90%,10%,South,East South Central,Southeast
